sentence,aspect,description,input_text,label
mua 2 quần 1 kích cỡ nhưng sản phẩm lại không cùng kích cỡ,kieu_dang,kiểu dáng form thiết kế mẫu,mua 2 quần 1 kích cỡ nhưng sản phẩm lại không cùng kích cỡ [SEP] kiểu dáng form thiết kế mẫu,0
"quần tây đen đẹp nhưng vải khá mềm , mọi người cân nhắc",kich_co,kích cỡ size rộng chật ôm bó form rộng form nhỏ vừa người quần rộng quần chật áo rộng áo chật,"quần tây đen đẹp nhưng vải khá mềm , mọi người cân nhắc [SEP] kích cỡ size rộng chật ôm bó form rộng form nhỏ vừa người quần rộng quần chật áo rộng áo chật",0
chất vải không như mình mua lần đầu,kieu_dang,kiểu dáng form thiết kế mẫu,chất vải không như mình mua lần đầu [SEP] kiểu dáng form thiết kế mẫu,0
quần fom đẹp nmà vải xấu rất à về bị chê á nên là cân nhắc trc khi mua nha,chat_lieu,vải chất liệu vải thun cotton jean kaki,quần fom đẹp nmà vải xấu rất à về bị chê á nên là cân nhắc trc khi mua nha [SEP] vải chất liệu vải thun cotton jean kaki,1
sản phẩm chất lượng phù hợp giá tiền giá sản phẩm cạnh tranh ổn,gia_cong,đường may gia công chỉ may,sản phẩm chất lượng phù hợp giá tiền giá sản phẩm cạnh tranh ổn [SEP] đường may gia công chỉ may,0
chất liệu vải khá tốt giao hàng nhanh cửa hàng nhiệt tình cảm thấy phù hợp với giá tiền..,do_ben,độ bền bền rách bung hỏng,chất liệu vải khá tốt giao hàng nhanh cửa hàng nhiệt tình cảm thấy phù hợp với giá tiền.. [SEP] độ bền bền rách bung hỏng,0
"quần đẹp mang thoải mái dễ chịu, phần màu quan trọng nhất thì không ổn, màu khác hoàn toàn so với hình mẫu",gia_ca,giá giá tiền mắc rẻ,"quần đẹp mang thoải mái dễ chịu, phần màu quan trọng nhất thì không ổn, màu khác hoàn toàn so với hình mẫu [SEP] giá giá tiền mắc rẻ",0
cũng tạm được nhưng thắt lưng bị lệch,cham_soc_khach_hang,tư vấn chăm sóc khách hàng rep tin nhắn phản hồi hỗ trợ trả lời chậm thái độ nhân viên,cũng tạm được nhưng thắt lưng bị lệch [SEP] tư vấn chăm sóc khách hàng rep tin nhắn phản hồi hỗ trợ trả lời chậm thái độ nhân viên,0
fom rất chán mua theo bảng cỡ 28 mặc đã bơi trong quần. hỏi lại cửa hàng thì cửa hàng bảo mua kích cỡ 29. chắc mua kích cỡ 29 thì 80 câm mới mặc vừa,kich_co,kích cỡ size rộng chật ôm bó form rộng form nhỏ vừa người quần rộng quần chật áo rộng áo chật,fom rất chán mua theo bảng cỡ 28 mặc đã bơi trong quần. hỏi lại cửa hàng thì cửa hàng bảo mua kích cỡ 29. chắc mua kích cỡ 29 thì 80 câm mới mặc vừa [SEP] kích cỡ size rộng chật ôm bó form rộng form nhỏ vừa người quần rộng quần chật áo rộng áo chật,1
"đóng gói cẩn thận, chất thì hơi xù và xấu 1 chút nhưng có thể trải nghiệm mặc 1 lần",chat_lieu,vải chất liệu vải thun cotton jean kaki,"đóng gói cẩn thận, chất thì hơi xù và xấu 1 chút nhưng có thể trải nghiệm mặc 1 lần [SEP] vải chất liệu vải thun cotton jean kaki",1
"chắc mình cũng phải đen lắm mới gặp hàng như này, mua phải quần rách đũng",mau_sac,màu sắc màu màu sắc đẹp xấu đậm nhạt phai màu khác màu,"chắc mình cũng phải đen lắm mới gặp hàng như này, mua phải quần rách đũng [SEP] màu sắc màu màu sắc đẹp xấu đậm nhạt phai màu khác màu",0
"nhiều lần mua sp ở cửa hàng giao hàng nhanh, đóng gói cẩn thận. quần vải chất lượng, đường chỉ đẹp mặc rất thoải mái. rất chim ưng quần trong tầm giá này. ủng hộ nhiệt tình",kich_co,kích cỡ size rộng chật ôm bó form rộng form nhỏ vừa người quần rộng quần chật áo rộng áo chật,"nhiều lần mua sp ở cửa hàng giao hàng nhanh, đóng gói cẩn thận. quần vải chất lượng, đường chỉ đẹp mặc rất thoải mái. rất chim ưng quần trong tầm giá này. ủng hộ nhiệt tình [SEP] kích cỡ size rộng chật ôm bó form rộng form nhỏ vừa người quần rộng quần chật áo rộng áo chật",0
