"label","rating","claimed_at","id","sentence"
"0",1,,103,"quần foem đẹp rẻ bền, nên mua nhưng mà nó hơi bung chỉ. lúc đầu sp rất đpwj nhưng sau 2 lần giặt, vải xù hết cả lên, thất vọng về sản phẩm bên cửa hàng cửa hàng đã giải quyết bằng cách voucher cho mình nhưng mình vẫn phải đánh giá công bằng về sp"
"0",2,,346,"hàng đẹp nhưng mua 2 quần kích cỡ 33 như nhau nhưng ống quần lệch 4cm bụng lệch nhau 3cm"
"0",1,,39,"mua ngày 12 10 nhưng bây giờ mới mở ra và kiểm tra, chất lượng xấu người kiểm tra ngoại quan của chiếc quần này xứng đáng cho nghỉ việc. rất hạn trả rồi, tôi bất cẩn khi tin tưởng cửa hàng 100 . xấu"
"0",1,,197,"cửa hàng làm ăn không uy tín gửi hàng mà không coi gửi hàng rách"
"1",2,,297,"hàng ở ngoài không như hình : . cửa hàng nhiệt tình. giao hàng rất nhanh. hơi rộng 1 xíu nhưng tốt so với các quần khác thì bình thường, không có gì nổi bật"
"0",3,,681,"quần phom không đẹp cũng đúng với giá tiền thật. cái cúc quần trông cũ, chỉ thừa nhiều, cảm giác như quần cũ luôn, mình chưa hề rạch khuy mà đã rạch sẵn. trải nghiệm mua lần này không hài lòng như lần mình mua áo polo của cửa hàng"
"1",3,,709,"giá rẻ, kiểu dáng đẹp không bó cũng không baggy mà suông theo chân nhưng dễ nhăn và chất lượng hoàn thiện rất xấu chỉ thừa nhiều vô kể ngồi cắt mãi ms hết"
"0",3,,685,"chất rất xấu luôn ấy mỏng tèo sẽ không có lần sau . lúc đầu thấy mọi người đánh giá ổn nên mua may mà mình mua 1c"
"0",3,,686,"tư vấn đổi sezi mà không đổi là seo dị"
"0",2,,405,"èo ôi mua còn hỏi trước có rộng không mà cửa hàng tl không rộng chắc hơn đinh đóng cột không vòng vo thêm từ nào luôn , quần mặc bụng rộng ống dài đi sửa mất nửa cái quần luôn , mặc như bơi trong cái quần , nhưng phải công nhận quần đẹp mỗi tội tư vấn chán , đánh giá trước không qua năm mới , cửa hàng lại đổ tội mất giông"
"2",3,,688,"vải được. ống quần khá rộng so với tưởng tượng"
"1",3,,689,"vải quần bị xúc sổ, sờn chỉ, may sơ sài, không đẹp như mong đợi, cửa hàng giao hàng nhanh."
"0",2,,383,"chịu luôn ạ mua mặc thử 1 cái thấy tốt xog cái còn lại bây h mới mặc thì nó không đúng kích cỡ 32 rõ ràng đặt 2 cái kích cỡ 32 mà h giao z.lỡ cắt mác r tại cứ nghĩ 2 cái giống nhau h cũng chả đổi được"
"0",2,,384,"đặt màu đen xog mở ra so với quần âu ở nhà lại đen không ra đen xanh navy không ra xanh navy chả hiểu làm ăn kiểu gì nữa"
"1",3,,571,"đóng gói cản thận,vải cũng ok.nhưng em khuyên mọi người nên lựa chọn kích cỡ cẩn thận 1 chút.em cao m70 73kg mà lấy kích cỡ 34 rồi còn bị kích phải đem sửa.shop có kêu trả hàng mà ấn nhận r😂thôi thì 3 vì cửa hàng cũng có đưa ra ý kiến là trả hàng với chất vải cũng tốt"
"1",3,,572,"mình mua áo sáu cúc nhưng cửa hàng giao áo hai cúc chất liệu vải bình thường đúng là tiền nào của đấy rẻ thì bao giờ cũng ôi nói chung là không chất lượng lắm"
"1",3,,573,"cửa hàng tư vấn nhiệt tình kích cỡ ổn mỗi tôi giao quần về chưa may cúc nhưng cửa hàng bù tiền thì tốt"
"1",3,,712,"chất lượng thì ổn nhưng đã cắt cúc nghi vẫn hàng không chuẩn"
"1",3,,576,"fom dáng đẹp chất liệu đẹp nhưng cạp quần rất kì rộng"
"0",3,,584,"giao thiếu hàng đợi không thấy lên đơn giải quyết phục vụ rất xấu không có giải quyết cụ thể biểu lên đơn chờ xác nhận nhận hạng nhưng mà mình đợi cả tuần vẫn không thấy phản hồi của cửa hàng mình mua đây là lần đầu tiên gặp tình trạng như thế này và mình đã xác nhận đơn hàng và xem như mình bỏ luôn"
"0",2,,385,"vải sida nhé mọi người. tiền nào của nấy. mặc 1,2 hôm chưa giặt lần nào mà đã xù vải rồi. chưa biết giặt xong thành cái quần lông không nữa"
"0",1,,208,"mới nhận thử quần mà phéc bơ tuy hư lun chưa mặc được lần nào mà giờ đi sửa quần"
"0",1,,11,"quần đẹp chất lượng tốt, nhưng có vết kia không xoá với tẩy được ạ"
"0",1,,12,"quần rộng lắm mọi người cửa hàng xấu thật sự không hài lòng chút nào"
"0",1,,249,"cửa hàng làm ăn thế này là không được mình đặt 2 mà giao có 1 là sao"
"0",1,,250,"mình muốn đổi mà liên hệ cửa hàng không trả lời phục vụ khách hàng rất kém"
"1",2,,480,"tư vấn kích cỡ không đúng lắm, hơi ngắn nma do không muốn hoàn trả mất thời gian lămgf nhằng nên thoi h.ảnh vd mang tính chất minh hoạ"
"0",1,,13,"đặt cùng màu cùng kích cỡ cùng loại, mà giao 2 kiểu khác nhau, 1 cái còn bị rách nữa chứng tỏ không kiểm tra hàng kỹ, qua loa, chất lượng dịch vụ kém, quần suôn rộng mà còn ngắn nữa. rất chán, không biết sao cửa hàng bán chạy được nữa, chắc là mua lượt bán và mua lượt review rất mua lần đầu cũng là lần cuối luôn."
"0",2,,482,"hàng okkkkkkkkkkkk giao hàng chậmmmmmmm trả lời tin nhắn chậmmmm"
"1",2,,483,"hàng chất lượng nhưng mà hơi ngắn xíu"
"0",1,,14,"sản phẩm giống hình 100 thái độ phục vụ kém đặt hàng 10 ngày mới bắt đầu gửi hàng"
"0",1,,16,"lần đầu tiên mua but đã cho mình cảm giác rất thất vọng, sản phẩm đặt mua từ 11 11 sale tới giờ vẫn chưa nhận được hàng , nhắn tin với cửa hàng mà chưa thấy cửa hàng hoàn sản phẩm khác cho mình. hoàn toàn không có lần sau"
"0",2,,484,"như suỵt rất giao tới bị bông"
"0",2,,485,"giao không đúng kích cỡ"
"0",2,,486,"đặt màu đen giao màu tím than"
"0",2,,487,"chỉ thừa nhiều"
"1",2,,513,"quần có chất liệu như thun có thể co giãn, nhưng mặc được 1 lần thì bị rách đường chỉ gần đáy quần"
"0",2,,526,"mặc được 1 ngày rách đáy rùi. giao nhanh mua kích cỡ 32 hai màu"
"0",2,,528,"hư dây kéo"
