"label","rating","claimed_at","id","aspect","sentence"
"0",1,,464,"cham_soc_khach_hang","chán rộng rất quần lại ngắn nhắn tin thì trả lời chậm rất lâu luôn , gọi cho cửa hàng thì không gọi được thế mà lúc gửi nhận hành còn kèm theo tờ giấy lỗi hay gì hoàn trả 100 quần tốt so với giá tiền dịch vụ kém các bạn cân nhắc khi mua nhé lỗi hay hoàn trả gì đấy thì coi như mang mà đi sửa"
"0",1,,465,"kich_co","chán rộng rất quần lại ngắn nhắn tin thì trả lời chậm rất lâu luôn , gọi cho cửa hàng thì không gọi được thế mà lúc gửi nhận hành còn kèm theo tờ giấy lỗi hay gì hoàn trả 100 quần tốt so với giá tiền dịch vụ kém các bạn cân nhắc khi mua nhé lỗi hay hoàn trả gì đấy thì coi như mang mà đi sửa"
"0",1,,466,"uy_tin_cua_hang","chán rộng rất quần lại ngắn nhắn tin thì trả lời chậm rất lâu luôn , gọi cho cửa hàng thì không gọi được thế mà lúc gửi nhận hành còn kèm theo tờ giấy lỗi hay gì hoàn trả 100 quần tốt so với giá tiền dịch vụ kém các bạn cân nhắc khi mua nhé lỗi hay hoàn trả gì đấy thì coi như mang mà đi sửa"
"2",1,,467,"chat_luong","quần đẹp đẹp chất lượng, nên mua nha mọi người"
"0",1,,468,"chat_luong","mới mua về đã bị hư khoá kéo 🙂🙂"
"0",1,,469,"kich_co","quần to so với kích thước"
"0",3,,2102,"dfsef","rác"
"0",2,,192,"màu","tôi mua 2 loại rồi . trên cửa hàng nay giá tiền khác nhau mà sân phẩm là giống nhau. với màu này không phải là màu kem . hình như là màu ghi thôi"
"1",2,,193,"quần","quần thì được, nhưng mà séc kéo bị hư :"
"0",2,,197,"chất lượng","quần đẹp nhưng mới mặc đã bung chỉ nhiều chỗ"
"2",1,,654,"chất lượng","quần đúng đẹp thật nhưng mà sao vừa mặc lại rách toạc ở giữa,đang đi làm luôn á trời quê điên"
"0",3,,2103,"chất liệu","nhưng mà chất liệu vải khá mỏng"
"0",3,,2104,"chất liệu","với giá này thì quần ổn nhưng mà vải ủi xíu cháy mất nên thôi bỏ với giá này chịu thôiii"
"0",1,,509,"đổi trả","cửa hàng này lừa đảo đổi trả hàng nhé 🤔 đã nhận hàng đổi trả bên bưu điện mà lại khăng khăng không nhận .mọi người né cửa hàng này ra nhé ăn chặn hàng của khách đấy"
"0",1,,152,"ống quần","mình cao m72 nặng từ 55 60kg mà mua 29 cứ như mua 92,ống quần rất rộng và sâu…..ko bao giờ mua lại lần2"
"0",1,,655,"độ bền","quần đúng đẹp thật nhưng mà sao vừa mặc lại rách toạc ở giữa,đang đi làm luôn á trời quê điên"
"0",1,,656,"gia công","may túi kiểu gì vậy"
"0",1,,474,"chat_luong","mua 3 cái 3 cái khác nhau hết"
"0",1,,302,"tư vấn","tư vấn thì bị rộng kích cỡ giao thì nhanh, mà đổi hàng thi tới 17 ngày làm ăn không hiểu được"
"2",1,,303,"giao hàng","tư vấn thì bị rộng kích cỡ giao thì nhanh, mà đổi hàng thi tới 17 ngày làm ăn không hiểu được"
"0",3,,2105,"chất liệu","bạn muốn chọn 1 chiếc quần vải 70 80k kém chất lượng về không mặc nổi hay chọn 1 chiếc quần cao cấp với chất lượng hoàn toàn xứng đáng giúp bạn thoải mái và tự tin bạn rất thất vọng với những chiếc quần tây giá rẻ hình ảnh nịnh mắt bán tràn lan trên shopee nhưng mặc vào thì bí bách, vải rất dày ha"
"2",3,,2106,"kiểu dáng","quần đẹp mới mở ra đã bị bung chỉ gấu quần rồi"
"0",3,,2107,"gia công","quần đẹp mới mở ra đã bị bung chỉ gấu quần rồi"
"0",3,,2108,"kích cỡ","quần hơi ngắn tui m8 bận kích cỡ 31 trên mắc cá 1 khúc lun á, mấy bạn cao cao mà óm óm cân nhắc nha"
"0",2,,514,"chăm sóc khách hàng","chưa nói đến chất lượng hàng nhưng giao hàng chậm tới mình mất gần tuần. đổi hàng gửi lại hàng chật cho cửa hàng xong nhắn hỏi trạng thái đơn đã gửi lại chưa không hề trả lời"
"0",3,,2109,"chất liệu","vải dày dặn chất vải trông hơi già bạn giống của mấy bác u50 ......"
"1",4,,2569,"chất lượng","nói chung là cũng bình thường chất vải đẹp tốt giá hợp lý nhưng hàng cũng chỉ 70 100 thôi"
"0",1,,530,"chất liệu","vải không co giãn.chịu cửa hàng luôn.mình nghĩ cửa hàng uy tín mà quần mặc chán thật sự"
"0",1,,531,"giao hàng","mua màu đen gửi màu ghi xám , giao hàng thì lâu ... chịu"
"0",1,,52,"cái","gặp đúng cái_lỗi đổi hàng thì cẩn trả hàng hoàn tiền tết nhất giao hàng lâu rất mất thời gian chán thậtl"
"0",2,,572,"độ bền","mới mặc được một ngày đi đám cưới mà bị bung chỉ lủng lỗ r"
"0",1,,573,"chất lượng","quần chỉ may rất cẩu thả. rách tè le hột me. không để ý mặc đi mới thấy rách. rất xấu"
"0",1,,575,"chất lượng","giao 2c hết 1c bị lỗi r rất rất xấu"
"0",1,,576,"gia công","đường may siêu ẩu luôn như này mà có thể gửi khách á thật sự thất vọng"
"0",1,,577,"chất lượng","đường may siêu ẩu luôn như này mà có thể gửi khách á thật sự thất vọng"
"0",1,,503,"chất lượng","cửa hàng làm ăn không uy tín gửi hàng mà không coi gửi hàng rách"
"0",1,,508,"giao hàng","lộn hàng mất thời gian mua hàng 189 giao 159 lộn khôn thế quần thì rộng cố ý giao lộn rõ ràng"
"0",1,,510,"chất liệu","chất liệu vải đểu may đểu một sao"
"0",1,,511,"chất liệu","chất vải rất mỏng"
"0",2,,512,"chất lượng","như hàng chợ"
"0",2,,513,"giao hàng","chưa nói đến chất lượng hàng nhưng giao hàng chậm tới mình mất gần tuần. đổi hàng gửi lại hàng chật cho cửa hàng xong nhắn hỏi trạng thái đơn đã gửi lại chưa không hề trả lời"
"0",1,,532,"đóng gói","mua màu đen gửi màu ghi xám , giao hàng thì lâu ... chịu"
"0",2,,533,"chất liệu","chất liệu vải thiết kế không giống như trước nữa, đã mua 3 lần và lần này thật sự thất vọng."
"0",2,,534,"chất liệu","mỏng với không đúng kiểu dáng tí nào"
"2",3,,2110,"chất lượng","quần may khá gọn gàng, chỉn chu, mỗi tội mình đặt 2 chiếc khác màu cùng kích cỡ thì một cái vừa một cái bị chật bụng"
"0",2,,562,"giao hàng","sản phẩm tốt giao 30 12 10 1 mới có lâu rất lo"
"2",4,,1802,"giá cả","sản phẩm rẻ chất lượng tốt"
"2",4,,1803,"kiểu dáng","phom đẹp chức vải co giãn thoải mái, sẽ quay lại ủng hộ tiếp tục"
"0",3,,2111,"kích cỡ","quần may khá gọn gàng, chỉn chu, mỗi tội mình đặt 2 chiếc khác màu cùng kích cỡ thì một cái vừa một cái bị chật bụng"
"0",3,,2112,"dfasf","rác"
"2",2,,556,"chất lượng","èo ôi mua còn hỏi trước có rộng không mà cửa hàng trả lời không rộng chắc hơn đinh đóng cột không vòng vo thêm từ nào luôn , quần mặc bụng rộng ống dài đi sửa mất nửa cái quần luôn , mặc như bơi trong cái quần , nhưng phải công nhận quần đẹp mỗi tội tư vấn chán , đánh giá trước không qua năm mới , cửa hàng lại đổ tội mất giông"
"0",2,,557,"kích cỡ","dài rộng, mặc lên kiểu dáng xấu không hợp với mình"
"0",2,,558,"kiểu dáng","dài rộng, mặc lên kiểu dáng xấu không hợp với mình"
"0",2,,488,"chat_lieu","sản phẩm xấu đường may không tỉ mỉ dẫn đến bung chỉ, phần may xổ cũng bị bung dẫn đến bung luôn sợi vải, nhiều chỉ thừa, vải mềm mỏng"
"0",3,,2113,"dfsdfs","rác"
"0",2,,559,"kích cỡ","số đo so với số 31 chỗ khác hơi nhỏ mặt trước quần bị gập thế này chỉ đáng 2 sao và mặc được 1 tháng thì thấy bị sổ bông nữa"
"0",1,,580,"uy tín cửa hàng","mình muốn đổi kích cỡ 1 cái quần mà phải nhắn cửa hàng 3 lần, hơn 2 tuần không một ai gọi để giao trả hàng, không quay lại đây mua thêm 1 lần nào nữa"
"2",3,,2114,"chất lượng","khá ổn nhưng không hài lòng lắm sẽ ủng hộ trong thời gian tới a cười h"
"0",2,,561,"chất lượng","số đo so với số 31 chỗ khác hơi nhỏ mặt trước quần bị gập thế này chỉ đáng 2 sao và mặc được 1 tháng thì thấy bị sổ bông nữa"
"2",3,,2115,"kiểu dáng","quần khá đẹp nhưng có khuyết điểm là đường chỉ không chắc chắn. nhất là chổ con đĩa. mua 3 lần đều mắc lỗi này."
"0",2,,1051,"chất liệu","rất mỏng nhìn được cả quần trong với túi quần"
"2",2,,404,"chất lượng","hàng đẹp nhưng mua 2 quần kích cỡ 33 như nhau nhưng ống quần lệch 4cm bụng lệch nhau 3cm"
"0",2,,405,"kích cỡ","hàng đẹp nhưng mua 2 quần kích cỡ 33 như nhau nhưng ống quần lệch 4cm bụng lệch nhau 3cm"
"0",2,,406,"kích cỡ","kích thước không đúng như mô tả"
"2",1,,153,"quần đẹp","quần đẹp chất lượng tốt, nhưng có vết kia không xoá với tẩy được ạ"
"0",1,,154,"vết kia","quần đẹp chất lượng tốt, nhưng có vết kia không xoá với tẩy được ạ"
"0",2,,581,"chất lượng","quần bị lỗi, phần đáy bị séo mặc cứ bị vướng đáy khá khó chịu"
"0",2,,582,"gia công","quần bị lỗi, phần đáy bị séo mặc cứ bị vướng đáy khá khó chịu"
"0",2,,583,"gia công","đường may khá là xấu nên không được hài lòng cho lắm"
"0",2,,181,"kích cỡ","kích cỡ 28 cho người 1 tạ"
"1",3,,624,"chất lượng","tạm chấp nhận cho 3 sao sản phẩm 4 sao dịch vụ 5 sao giao hàng nhanh. chất liệu vải không co giãn được tốt lắm còn chỉ thừa."
"0",2,,1079,"giao hàng","quần rởm giao hàng chậm"
"0",2,,1080,"đổi trả","mình 52kg 1m68 nhưng bận rất chật có liên hệ cửa hàng nhưng do cửa hàng đã nghỉ tết nên không đổi trả được, chỉ thừa rất nhiều và không vừa kích cỡ có chút thất vọng :"
"2",4,,1804,"chất liệu","phom đẹp chức vải co giãn thoải mái, sẽ quay lại ủng hộ tiếp tục"
"2",4,,1805,"chất lượng","sản phẩm tốt chất ổn ae nên mua để trải nghiệm giá cả cũng hợp lý s"
"2",4,,2080,"chăm sóc khách hàng","chất liệu vải khá tốt giao hàng nhanh cửa hàng nhiệt tình cảm thấy phù hợp với giá tiền.."
"0",2,,571,"kích cỡ","đặt có 2 cái quần từ hn mà còn lâu hơn hàng từ nước ngoài về mất 2 tuần cuối cùng thì cạp vừa nhưng quần vừa rộng vừa dài phải đi sửa hết nửa cái quần không lẽ bỏ 🙂"
"0",1,,574,"kích cỡ","kích cỡ người già, rất thật vọng"
"0",1,,578,"đổi trả","mình muốn đổi kích cỡ 1 cái quần mà phải nhắn cửa hàng 3 lần, hơn 2 tuần không một ai gọi để giao trả hàng, không quay lại đây mua thêm 1 lần nào nữa"
"0",1,,579,"chăm sóc khách hàng","mình muốn đổi kích cỡ 1 cái quần mà phải nhắn cửa hàng 3 lần, hơn 2 tuần không một ai gọi để giao trả hàng, không quay lại đây mua thêm 1 lần nào nữa"
"0",1,,504,"chất lượng","quần rất dài, mà nói quần baggy cũng chịu kích cỡ 33, vấn đề này bỏ qua cũng được đã vậy mông quần nguyên 1 đường rạch dài, chắc giặt cái là rách luôn, gần tết gặp nhận quần vậy bó tay lun"
"0",1,,505,"kích cỡ","quần rất dài, mà nói quần baggy cũng chịu kích cỡ 33, vấn đề này bỏ qua cũng được đã vậy mông quần nguyên 1 đường rạch dài, chắc giặt cái là rách luôn, gần tết gặp nhận quần vậy bó tay lun"
"0",1,,506,"kích cỡ","số đo khác hoàn toàn so với bảng kích cỡ nhắn tin thì nửa ngày mới trả lời được cái quần đẹp so với giá tiền"
"0",1,,507,"chăm sóc khách hàng","số đo khác hoàn toàn so với bảng kích cỡ nhắn tin thì nửa ngày mới trả lời được cái quần đẹp so với giá tiền"
"0",1,,520,"chất liệu","quần bên cửa hàng sau khi sử dụng được hơn 1 tuần thì vải bị xơ liên tục và khi mới đây là bị rách như thế này"
"0",1,,826,"kích cỡ","quần kiểu dáng xấu mặc nóng, mua 2 cái cùng 1 kích cỡ nhưng cái rộng cái chật. không đáng để mua"
"0",1,,829,"chất lượng","rất rất xấu quần thì sổ chỉ tùm lum,màu thì xấu cúc với xéc thì lỏng lẻo nhìn như dẻ xác định mua thì khỏi trả được nữa luôn🤬🤬🤬🤬"
"0",3,,2116,"gia công","quần khá đẹp nhưng có khuyết điểm là đường chỉ không chắc chắn. nhất là chổ con đĩa. mua 3 lần đều mắc lỗi này."
"0",2,,584,"kích cỡ","kích cỡ không đúng, chật, thắt bụng khó chịu, không nên mua 🤬🤬🤬🤬"
"0",2,,585,"uy tín cửa hàng","kích cỡ không đúng, chật, thắt bụng khó chịu, không nên mua 🤬🤬🤬🤬"
"0",3,,2117,"đóng gói","túi đen mốc như vậy vẫn gửi đi được xem hướng dẫn đánh giá chuẩn để"
"0",2,,180,"quần","mặc được tầm 10 ngày và giờ nó như cái dẻ lau,phần mông và đùi quần xù lên"
"2",3,,2118,"chất lượng","quần được ổn, mà chưa gì bay cúc rồi🤣 bắt ngta ngồi may lại nữa"
"2",2,,1094,"chất lượng","mặc đẹp vừa nhưng giặt 2 lần chỉ bục toè loe . chán"
"0",3,,2119,"gia công","quần được ổn, mà chưa gì bay cúc rồi🤣 bắt ngta ngồi may lại nữa"
"0",2,,1095,"độ bền","mặc đẹp vừa nhưng giặt 2 lần chỉ bục toè loe . chán"
"0",1,,827,"màu sắc","cửa hàng bán lộn 2 đen rồi, tôi đặt 1 đen 1 kem"
"0",2,,552,"kích cỡ","lô hàng không đi theo 1 kích cỡ nhất định đợt đầu đặt mặc vừa đợt sau đặt lại cách nhau 3 ngày mà mặc rộng phải đi bóp lại mua hàng không biết đường coi kích cỡ bó tay đặt đồ cách nhau 3 ngày mà khác nhau"
"0",2,,553,"chất lượng","lô hàng không đi theo 1 kích cỡ nhất định đợt đầu đặt mặc vừa đợt sau đặt lại cách nhau 3 ngày mà mặc rộng phải đi bóp lại mua hàng không biết đường coi kích cỡ bó tay đặt đồ cách nhau 3 ngày mà khác nhau"
"0",1,,659,"chăm sóc khách hàng","quần rộng kinh khủng luôn. quần mua ở đây to gấp mấy lần với mấy cửa hàng khác. bthương mình mua kích cỡ 28 là mặ vừa mà mua của cửa hàng thì to kinh khủng luôn cứ như kích cỡ 30 vậy đó. còn cửa hàng mình xin được đổi lại hàng thì cug không thèm trả lời luôn. kiểu như bán được hàng nhận được tiền r là thôi không thèm nk luôn."
"0",1,,221,"chăm sóc khách hàng","chăm sóc khách hàng rất kém. chất vải bình thường, chưa mua thì trả lời ib rất nhanh, mua rồi thì không thèm trả lời."
"0",1,,222,"chất vải","chăm sóc khách hàng rất kém. chất vải bình thường, chưa mua thì trả lời ib rất nhanh, mua rồi thì không thèm trả lời."
"0",1,,660,"gia công","giao sản phẩm không có cút gài, nhắn tin cửa hàng chẳng trả lời"
"0",2,,554,"kích cỡ","èo ôi mua còn hỏi trước có rộng không mà cửa hàng trả lời không rộng chắc hơn đinh đóng cột không vòng vo thêm từ nào luôn , quần mặc bụng rộng ống dài đi sửa mất nửa cái quần luôn , mặc như bơi trong cái quần , nhưng phải công nhận quần đẹp mỗi tội tư vấn chán , đánh giá trước không qua năm mới , cửa hàng lại đổ tội mất giông"
"0",1,,661,"chăm sóc khách hàng","giao sản phẩm không có cút gài, nhắn tin cửa hàng chẳng trả lời"
"0",1,,245,"đổi trả","giao hàng nhanh. mua 2 cái quần thì 1 quần lỗi không mặc được, liên hệ cửa hàng để đổi trả cũng không được. cửa hàng cứ kêu hỗ trợ nhưng nhắn lại thì không thấy nói gì. hỗ trợ cskh rất kỳ kém. sẽ không bao giờ mua lại. hối hận vì mua đồ và bấm nhận hàng"
"0",2,,537,"gia công","đường may không chắc chắn"
"0",2,,564,"chất lượng","hàng bị mất mút vậy vẫn giao được . tuy vải tốt nhưng không thể chấp nhận được"
"0",2,,586,"chất lượng","mua cho người ta mà thử vô bị rách đáy. hên là chưa đi ra đường bó tay luôn."
"0",2,,482,"chat_luong","quần thiếu cúc"
"0",2,,517,"kiểu dáng","kiểu dáng rất chán mua theo bảng cỡ 28 mặc đã bơi trong quần. hỏi lại cửa hàng thì cửa hàng bảo mua kích cỡ 29. chắc mua kích cỡ 29 thì 80 cân mới mặc vừa"
"0",2,,518,"kích cỡ","kiểu dáng rất chán mua theo bảng cỡ 28 mặc đã bơi trong quần. hỏi lại cửa hàng thì cửa hàng bảo mua kích cỡ 29. chắc mua kích cỡ 29 thì 80 cân mới mặc vừa"
"2",3,,2120,"chất lượng","hàng chất lượng tốt đóng gói đẹp cẩn thận giao hàng nhanh còn có thư cảm ơn . mỗi tội 1 số lúc nt trả lời rất lâu"
"2",3,,2121,"đóng gói","hàng chất lượng tốt đóng gói đẹp cẩn thận giao hàng nhanh còn có thư cảm ơn . mỗi tội 1 số lúc nt trả lời rất lâu"
